iter	Passed	Remaining
0	1	184
1	2	145
2	3	124
3	4	108
4	5	103
5	6	101
6	7	99
7	8	99
8	9	96
9	10	92
10	11	91
11	12	91
12	14	97
13	15	97
14	16	95
15	18	94
16	19	92
17	19	90
18	20	89
19	21	86
20	22	85
21	23	83
22	24	82
23	25	80
24	26	80
25	27	78
26	29	79
27	30	78
28	31	77
29	32	76
30	33	75
31	34	74
32	35	73
33	36	71
34	38	70
35	39	69
36	40	68
37	40	66
38	41	65
39	42	63
40	43	62
41	43	60
42	45	59
43	46	58
44	47	57
45	48	56
46	48	55
47	50	54
48	50	53
49	51	51
50	52	50
51	53	49
52	54	48
53	55	47
54	56	45
55	56	44
56	57	43
57	59	42
58	60	42
59	62	41
60	63	40
61	64	39
62	66	38
63	67	37
64	69	37
65	70	36
66	71	34
67	72	34
68	73	33
69	74	32
70	76	31
71	77	30
72	78	29
73	79	27
74	80	26
75	81	25
76	82	24
77	84	23
78	85	22
79	86	21
80	87	20
81	88	19
82	89	18
83	91	17
84	92	16
85	93	15
86	95	14
87	96	13
88	98	12
89	99	11
90	100	9
91	102	8
92	102	7
93	104	6
94	105	5
95	107	4
96	108	3
97	109	2
98	110	1
99	111	0
